id	nv	ru	en
1149	пур̆	"1) сор, мусор; 2) труха "	
1150	пур̆пур̆	"веер, опахало "	
1151	пур̆пур̆д	1. быть прохладным; 2. прохладный	
1152	путид	"подметать, выметать (сор)"	
1153	путир̆	"веник, метла "	
1154	путь	морская капуста 	
1155	пыкзд	"пропадать, теряться "	
1156	пыкр̆	распялка (на которую для просушки натягивается шкура животного)	
1157	пыку	кукушка	
1158	пыкуд	куковать	
1159	пылӈбылӈд	"1) катиться (кубарем с го­ры, лестницы); 2) опрокидываться"	
1160	"пылӈыд, пылӈд"	перевораЧИВаТЬСЯ	
1161	пыпыд	баюкать (укачивать ребёнка)	
1162	пыр̆	низкий столик для еды	
1163	"пыр̆к, пар̆к"	"сам, только сам"	
1164	пых	краска	
1165	п’айд	излечивать себя 	
1166	п’аки	"ещё сильнее, сильнее прежнего"	
1167	п’аӄт	порезаться	
1168	п’алд	спорить (с кем-л. о чём-л.) 	
1169	п’алӻазид	"1) подчиняться, покоряться; 2) мириться (с кем-, чем-л.)"	
1170	п’алӈ	пол	
1171	п’алхтад	1. быть хвастливым; 2. хвастливый	
1172	п’амад	"заблудиться, сбиться с пути "	
1173	п’ань	1) наколенник; 2) чулок 	
1174	п’ард	раздеваться 	
1175	п’aр̆ӄ	калуга (рыба) 	
1176	п’aр̆пард	1) взмахивать (крыльями); 2) раздеваться	
1177	п’аў	пушка	
1178	п’аӽ	1) окно; 2) стекло (оконное)	
1179	п’аӽ к’ути	форточка	
1180	п’аӽ т’хы	подоконник	
1181	п’евд	"сдерживаться, держать себя в ру­ках"	
1182	п’евлад	быть сдержанным	
1183	п’евла	сдержанный	
1184	п’ евр̆	свисток	
1185	п’евъюд	свистеть	
1186	п’еғзд	"1. быть своеобразным, оригиналь­ным (по характеру); 2. своеобразный, оригинальный (по характеру)"	
1187	"п’еӻод, мумъёд"	"1. торопиться, спешить; 2. торопливый"	
1188	п’ед	собирать	
1189	п’езмуд	быть эгоистичным	
1190	п’езмула	эгоистичный	
1191	п’езмулак	эгоист	
1192	п’eӄ	1. курица; 2. куриный 	
1193	п’eӄ нонӄ	цыплёнок	
1194	п’елелд 	вылизывать себя (о животном)	
1195	п’еньӈаўд	"шевелиться, двигаться"	
1196	п’еӈръюд	жужжать (о насекомом) 	
1197	п’еӈр̆	муха (мелкая) 	
1198	п’ервд	"притаиться, затаиться"	
1199	п’ерд	"1. уставать, утомляться; 2. усталый, утомлённый"	
1200	п’ерӈ	1) насекомое; 2) червь 	
1201	п’ер̆ӄад	1. быть кривым; 2. кривой 	
1202	п’ер̆ӄуд	"сгибаться, гнуться "	
1203	п’и	1) себя; 2) сам	
1204	п’иврыд	"приводить в порядок что-л. у себя в доме, прибираться"	
1205	"П’ИзВИзК, ВИзВИзК"	кузнечик	
1206	"п’изд, п’р̆уӈд"	"линять (о животном, птице)"	
1207	п’ины	"1) вещь, предмет; 2) принадлежности"	
1208	п’иӈд	"1) убегать, удирать; 2) прятаться"	
1209	п’иӈрд	1. быть дешёвым; 2. дешёвый	
1210	п’ирӈЫр̆	сазан (рыба) 	
1211	п’ир̆кт	поворачиваться (сделав круговое движение)	
1212	п’ир̆пирд	"вращаться, вертеться, кружиться"	
1213	п’иск I	маленький спинной плавник (у рыбы)	
1214	п’иск II	коршун	
1215	п’иту лоӈ	май	
1216	п’лавлад 	"сиять, сверкать, переливаться (на свету, огне)"	
1217	п’лад	"биться, трепыхаться (о рыбе) "	
1218	п’лайраӈ	лисица-крестовка 	
1219	п’лаӄр̆	"вдруг, сразу, внезапно, неожи­данно"	
1220	п’лаюд	"1. быть блестящим, сверкающим; 2. блестящий, сверкающий "	
1221	"п’лоӈр̆, п’р̆уӈ"	"молодая ель, ёлочка"	
1222	п’лоток	платок	
1223	"П’ЛЫӈГ, ӄ’aмӽ"	1) зола; 2) сажа 	
1224	п’лытьр̆	блюдце	
1225	п’ӈавд 	кутаться	
1226	п’ӈаӻд 	1. быть молодым; 2. молодой 	
1227	п’невд 	"вытираться, обтираться"	
1228	"п’ова, ЭӻГУр̆, ЭӄOр̆"	"сразу, быстро, немедленно"	
1229	п’оӄи 	 1) рыбий пузырь; 2) шар	
1230	п’олаӻд 	кричать	
1231	"п’ондалд, п’одалд"	"тухнуть, разлагаться, гнить"	
1232	"п’оти, xeвaӈ"	1. верёвка; 2. верёвочный	
1233	п’отр̆	принадлежности для шитья 	
1234	"п’отт, п’отнд "	шить для себя 	
1235	п’рауд 	тратиться	
1236	п’р̆акзд 	смениться	
1237	"п’р̆аӈрад, п’р̆аӈрд "	"1) приготавливаться, сосредоточиваться; 2) изловчаться; 3) напрягаться"	
1238	п’р̆ар̆ӄт	"лопаться, трескаться; взрываться"	
1239	п’р̆ауд	учиться	
1240	п’р̆oӄ	чирок (птица) 	
1241	п’р̆oӄод	"сниматься, фотографироваться"	
1242	п’р̆oӈ	1) корюшка (мелкая); 2) салатка (рыба)	
1243	"п’р̆уӈд, п’изд"	"линять (о животном, птице) "	
1244	п’р̆ы	"шалаш, палатка "	
1245	п’р̆ыд	"приходить, прибывать, приез­жать"	
1246	п’р̆ынивӈ	пришелец	
1247	п’салд	"приодеться (в хорошее, модное, красивое)"	
1248	п’сард	наполниться 	
1249	п’севд	колоться	
1250	п’сиӈруд	"мучиться, страдать"	
1251	п’суд	"мыться, умываться"	
1252	п’судаф	баня	
1253	п’увӈ	пила	
1254	п’уғӈ	1. быть густым; 2. густой	
1255	"п’уд, кузд, кузинд"	выходить	
1256	п’ундид	излишек	
1257	п’хевд	"закрутиться, запутаться "	
1258	п’хи	"тайга, лес "	
1259	п’хукуд 	отряхиваться	
1260	п’хыд 	возвращаться	
1261	п’хыйк	выдра	
1262	"п’хыйксо, кылчо, мар̆"	налим (рыба)	
1263	п’ӽаӄт	1. быть коротким; 2. короткий	
1264	п’ӽотьт	уронить себя (в глазах других)	
1265	п’ыдм	"мошкара, гнус"	
1266	"п’ытт, п’ытнд"	"расщепляться, раскалываться"	
1267	п’ытф	трещина	
1268	"раӻвд, тағвд"	1) наматывать; 2) окружать	
1269	раӻзд	"наблюдать, следить"	
1270	"рад, ранд I"	пить	
1271	"рад, ранд II"	курить	
1272	"рад, ранд III"	светить (о солнце)	
1273	"ракзд, ракзнд"	"1) менять (что-л.); 2) заменять (кого-, что-л.)"	
1274	ракт	1) делать надрезы на рыбе (при изготовлении юколы); 2) делать зарубки (на чём-л.)	
1275	ралӈ	лягушка	
1276	ралралд	"бранить, ругать"	
1277	ранд	родственник	
1278	paӈXTИ	"ПОЛНОСТЬЮ, ЦеЛИКОМ"	
1279	ратьт	"скоблить, соскабливать, скрести"	
1280	рауд I	"тратить, расходовать"	
1281	"рауд II, яскмд"	"1) объяснять, разъяснять, растолковывать; 2) наставлять, поучать; 3) держать собаку на поводке"	
1282	раунивӈ	учитель	
1283	раур̆аӈӷ	учительница	
1284	раюд	писать	
1285	розд	"делить, распределять; раздавать"	
1286	роӄд	"1) пороть, распарывать, отпарывать; 2) отдирать, отрывать"	
1287	роло	"взаимно, обоюдно"	
1288	рорд	"1) грустить, скучать, тосковать (о ком-л., по чему-л.); 2) хотеть, желать"	
1289	"роруд, роруйд"	"тушить, гасить"	
1290	рувӈ	1) родные братья и сёстры; 2) дети братьев и сестёр всех степеней родства	
1291	руғд	"выбирать, отбирать"	
1292	руғнивӈ	1) сортировщик; 2) избиратель	
1293	р̆авд	"1) зацеплять, поддевать; 2) притягивать (багром, крючком)"	
1294	"р̆aBӽ, ЧаВӽ"	1. ЯКОрь; 2. ЯКОрНЫЙ	
1295	"р̆ад, т’ад I"	"1. 1) печь, выпекать; 2) жарить; 2. 1) печёный; 2) жареный"	
1296	"р̆ад, т’ад II"	"который, которая, которое"	
1297	"р̆ад, т’ад III, хывд"	"1) рубить, разрубать (на части); 2) колоть (дрова)"	
1298	"р̆аКрТОӽ, т’аСТОӽ"	"куда (в какое место, в какую сторону)"	
1299	"р̆аКрух, т’азух"	"где, откуда (из какого места)"	
1300	р̆акт	внести (что-л. в помещение)	
1301	р̆аӈӷ	женщина	
1302	р̆аӈӷа	много	
1303	р̆aнӻэӻлӈ	девочка	
1304	"р̆анс, т’aӈс"	сколько	
1305	р̆апрд	притаскивать	
1306	"р̆ар, т’ас"	где	
1307	р̆аф	клещ	
1308	р̆икт	"обнимать, обхватывать, крепко прижимать к себе"	
1309	р̆од	нести	
1310	р̆олид	проткнуть	
1311	р̆ор̆ӄод	"перевозить, переправлять (через реку)"	
1312	р̆ор̆ӄоф	"место перевода, переправы (через реку)
"	
1313	р̆ор̆мард	"нести (что- л.), поднимаясь снизу вверх"	
1314	р̆ор̆п’р̆ыд	"притаскивать, приносить, до­ставлять"	
1315	"р̆увд, т’увд"	"1) жечь, палить (что-л.); 2) топить (печь), разводить огонь"	
1316	"р̆уд, т’уд I"	"преследовать, гнаться "	
1317	"р̆уд, т’уд II"	"точить, оттачивать "	
1318	"р̆уд, т’уд III"	собирать	
1319	р̆ы	1. дверь; 2. дверной 	
1320	р̆ывд	1. быть раненым; 2. раненый 	
1321	р̆ыд	"вдевать, продевать "	
1322	р̆ызаӈ	косяк (дверной) 	
1323	р̆ылғд	открывать (дверь) 	
1324	р̆ымд	плавать (о человеке) 	
1325	р̆ытт	притворять (дверь) 	
1326	р̆ыюд	"1. быть сырым, влажным; 2. сырой, влажный"	
1327	"сарӻод, к’рыўд "	отдыхать 	
1328	"сарӻоф, к’рыўф"	"место отдыха, привал"	
1329	саруд	наполнять	
1330	сед	"сучить нить из волокон растений, прясть"	
1331	сета	сахар	
1332	сеўд	сушить	
1333	сид	"класть, складывать, укладывать "	
1334	сик	"весь, вся, всё; все"	
1335	сикак	очень	
1336	сомруд	"освобождать от ошейника (со­баку, оленя)"	
1337	"синдух, ӿуньф"	"бочка, хранилище в виде бочки"	
1338	сурр	звукоподражат. сл. (о звучании ливня)	
1339	сурръёд	"шуметь (о дожде, ливне)"	
1340	тавӻай	краб	
1341	тавӷд	"ВХОДИТЬ В ДОМ, В помещение"	
1342	тавӻи	рак	
1343	"таӻвд, раӻвд"	1) наматывать; 2) окружать	
1344	таӻр̆	"орнамент, узор, ВыШИВКа"	
1345	тай I	трубка (курительная)	
1346	тай II	1. тундра; 2. тундровый	
1347	"тай алр̆, ӈоpӈ алр̆, эрӈи"	морошка (ягода)	
1348	Taйӻӈaд	"Тайгнад (бог - творец живности, посылает нивхам рыбу, нерпу, живёт на дне Охотского моря)"	
1349	тайрЫӈ	ЛеВЫЙ (о стороне)	
1350	тайф	пятно	
1351	"такнь, такань"	ноготь; коготь	
1352	такт	быть тёплым	
1353	такла	тёплый	
1354	таӄи	"шест, заканчивающийся вилкой (для заготовки юколы)"	
1355	"таӄл, таӄал"	брюшко (рыбы) 	
1356	талӄад	1. быть сырым (неварёным); 2. сырой (неварёный)	
1357	там	1. клюква; 2. клюквенный 	
1358	там валад 	"быть бордовым, цвета клюк­вы"	
1359	там вала	"бордовый, клюквен­ный (оттенок цвета) "	
1360	тамд	быть многочисленным	
1361	тамла	многочисленный	
1362	тамк	1. рука; 2. ручной 	
1363	тамх	1. табак; 2. табачный 	
1364	"тaӈвaӈ, ӿағи"	черемша (дикорастущий лук)	
1365	таӈмад I 	подозревать (кого-л. в чём-л.)	
1366	таӈмад II 	"настораживаться, насторожиться"	
1367	"тапи, куғл"	бабочка	
1368	тар̆ӄраӽ	глухарь	
1369	"татагур, татагут"	целиком	
1370	татад	"быть целым, нераздельным"	
1371	тата	"целый, нераздельный"	
1372	тарлад	"быть крепким, густым, насыщенным (о напитке)"	
1373	тарла	"крепкий, густой, насыщенный "	
1374	тару	"талисман, амулет "	
1375	татьр̆	скребок (для выделки шкуры)	
1376	таўғур̆	лахтак (разновидность тюленя)	
1377	таўд	привыкать	
1378	"таўргур̆, таўргут"	долго	
1379	таўрд	"быть долгим, длительным, про­должительным"	
1380	таўрла	"долгий, длительный, продолжительный"	
1381	таф	"1. дом, здание, жилище; 2. домашний"	
1382	тафтиӈ	соль	
1383	таӽ	ЭПИДеМИЯ	
1384	тевӻай	1. клён; 2. кленовый 	
1385	"теви алр̆, к’мирӈ алр̆"	шиповник (яго­да)	
1386	"теви ӈакс, к’мир ӈaкc"	шиповник (кустарник)	
1387	теӻад	"сидеть, сесть ( на мель) "	
1388	теӻд	"дуть, задуть (о ветре) "	
1389	те	штабель дров 	
1390	тевр̆ӄ	"птичка, пташка "	
1391	тезд	1. быть слабым; 2. слабый	
1392	темраӈ	краснопёрка (рыба) 	
1393	теӈи	горбуша (рыба) 	
1394	теӈи лоӈ	август	
1395	тер̆ I 	сук	
1396	тер̆ II 	"числ. три (для счёта животных, рыб, птиц)"	
1397	тё	1. берег (у самой воды); 2. береговой	
1398	тём	плот	
1399	тёмр̆	"лист (на дереве, кусте) "	
1400	тёньӽ	угол	
1401	тёӈр̆	1. голова; 2. головной 	
1402	тёсӄд	"ломаться, разбиваться "	
1403	тивд	быть холодным (низкой температуры)	
1404	тивла	холодный	
1405	"тивла ЛOӈ, т’ло ЛOӈ"	декабрь	
1406	тивлаӈ	"холод, мороз, стужа"	
1407	тивр̆	печень	
1408	ТИғД	1. танцевать; 2. танец 	
1409	тиӈ	СИЛа	
1410	тиў	"звук, шум "	
1411	"тиф I, тилф"	1. осень; 2. осенний 	
1412	тиф II	"1. 1) дорога, путь; 2) след; 2. до­рожный"	
1413	то I	"на, возьми"	
1414	то II	землянка (зимнее жилище земля­ ночного типа)	
1415	товлад	"быть белым, светлым (о цвете кожи человека)"	
1416	товла	белый	
1417	"TOӄо I, вазр̆ "	"ограда, забор, изгородь"	
1418	тоӄо II	1. огород; 2. огородный 	
1419	тол	вода ( водное пространство) 	
1420	ТОЛӻОМК	1. ил; 2. илистый 	
1421	толф	1. лето; 2. летний 	
1422	"томск, ромск"	"с, вместе "	
1423	TOӈӄ	1. ЛОКОТЬ; 2. ЛОКТеВОЙ 	
1424	TOӈр̆ I	близнецы	
1425	TOӈр̆ II	сухожилие	
1426	тораф	дом-землянка (древнее зимнее жилище)	
1427	тору	"едва, еле-еле"	
1428	тор̆ I 	коса (песчаная) 	
1429	тор̆ II 	1) обычай; 2) закон; 3) правило	
1430	тот	предплечье	
1431	тото	1. серебро; 2. серебряный 	
1432	тотр̆	куница	
1433	ту	1. озеро; 2. озёрный	
1434	туғрТуғрД 	"ИДТИ неверной ПОХОДКОЙ, Ша­ТаТЬСЯ"	
1435	туғс	СЛОВО	
1436	туд I 	"этот, эта, это (ближайший к говоря­щему)"	
1437	туд II 	"двигаться, перемещаться вверх по течению реки"	
1438	тузд	"1. быть ОСТыВШИМ, холодным; 2. ХОЛОДНО"	
1439	тузла	"1. ОСТыВШИЙ, холодный; 2. ХОЛОДНО"	
1440	туид	быть пыльным	
1441	туи	ПыЛЬНЫЙ	
1442	туки	1. осётр; 2. осетровый 	
1443	"туко, нуко"	"отстать, отстраниться, отойти"	
1444	"тулку, рулку "	"через, сквозь "	
1445	туньм	палец	
1446	туӈ I	лом (орудие) 	
1447	туӈ II	сивуч (морской лев) 	
1448	тупр̆	пух	
1449	тупр̆ ӈавр̆ки	подшёрсток	
1450	турӈ	"форма, образец, фасон, модель "	
1451	тур̆	1. мясо; 2. мясной 	
1452	тутут	горлица (вид голубя) 	
1453	туф	ЯЗыК (орган речи) 	
1454	"тух, к’ы"	"топор, колун "	
1455	тык	берестяное лукошко 	
1456	тымдид	"1. быть таким, такой; 2. такой, такая, такое"	
1457	тымдир̆	таким образом 	
1458	тыӈ	ГЛаЗНОЙ хрусталик	
1459	тыӈанк	очень давно 	
1460	тыӈдынд	КИВаТЬ ГОЛОВОЙ (в знак согласия)	
1461	тыӈз	вес	
1462	тыӈзд	весить (иметь вес) 	
1463	тыӈс	лампа	
1464	тырд	1) отвязываться (от привязи); 2) развязываться (разъединяться)	
1465	"тьхевр̆ӈай, чхевр̆ӈай"	гусеница	
1465.1	тьӽоӄр̆	числ. тридцать (для счёта разнообразных предметов)	
1466	"тяй, андяй, адяй"	"опять, снова, еще"	
1467	тяӄ	"люлька, колыбель "	
1468	тяӄо	нож	
1469	"тяӄрд, тяӄрад"	прыгать	
1470	тяӄр̆	числ. три (для счёта разнообразных предметов)	
1471	тялӄад	"лгать, обманывать, хитрить "	
1472	тяндраф	"дом-землянка (большое зимнее жилище земляночного или полуземляночного типа, обычно родовое, мно­госемейное) "	
1473	ТЯӈГИ	НаЧаЛЬНИК	
1474	ТЯӈӽ	верхушка дерева; ВеТВЬ	
1475	ТЯпӈ	КЛеЩИ (инструмент) 	
1476	тяр̆	палка	
1477	"тятяд, тятянд"	"музыкальный инструмент (из сухого бревна лиственницы, под­вешенного на козлах) "	
1478	т’а I	темя	
1479	т’а II	частица отриц. не 	
1480	"т’аӻр̆ I, к’yғpӈaй, к’yғpӈи"	бурундук	
1481	"т’аӻр̆ II, р̆aғр̆"	"между, среди"	
1482	т’аӻр̆ III	переносица	
1483	"т’ад I, р̆ад"	"1. 1) печь, выпекать; 2) жа­рить; 2. 1) печёный; 2) жареный"	
1484	"т’ад II, р̆ад"	"который, которая, которое"	
1485	"т’ад III, хывд"	"1) рубить, разрубать (на части); 2) рубить, колоть (дрова)"	
1486	т’ад IV 	дышать	
1487	т’адм	макушка (головы) 	
1488	т’ай 	не знать 	
1489	"т’азух, р̆акрух"	"где, откуда (из какого места)"	
1490	т’айғур̆	1) яма в водоёме (обычно в реке); 2) водоворот	
1491	т’акр̆	багульник	
1492	т’aӄр̆	"1) направление к берегу, противоположному от говорящего; 2) терри­тория, находящаяся на противополож­ном берегу; 3) сторона дома, противо­положная входу "	
1493	т’алӄ	блюдо из сырой рыбы 	
1494	т’амад 	1. 1) быть неподвижным; 2) быть тихим	
1495	т’ама	1) неподвижный; 2) тихий	
1496	т’амар̆	1) неподвижно; 2) лениво 	
1497	"т’амдигур̆, т’амдигут "	"как, каким образом"	
1498	т’ амдид 	1. быть каким; 2. какой	
1499	т’ана	"дать, давать "	
1500	"т’аӈрд, т’аӈрад"	"1) быть ловким; 2) быть насторожённым, бдительным"	
1501	т’аӈрла	"1) ловкий; 2) насторожён­ный, бдительный"	
1502	т’аӈрк	1. ловкий (о человеке); 2. ловкач	
1503	"т’аӈс, р̆анс"	сколько	
1504	"т’ара, р̆ара "	"против, напротив"	
1505	т’арғд	1. быть неудобным; 2. неудобный	
1506	т’ару	залив	
1507	"т’ас, р̆ар "	мест. вопр. где	
1508	"т’астоӽ, р̆акртоӽ"	"куда (в какое место, в какую сторону)"	
1509	т’атӈ	1. утро; 2. утренний 	
1510	т’атуд	1. быть бездейственным; 2. бездейственный	
1511	т’ать	1. олово; 2. оловянный 	
1512	т’аўд I	"дымить, чадить "	
1513	т’аўд II 	"который, которая, которое"	
1514	т’аф I 	1. воздух; 2. воздушный 	
1515	т’аф II 	"багор (крюк для ловли крупных рыб, для подтаскивания к лодке уби­тых тюленей и крупных рыб) "	
1516	т’ах	1. лоб; 2. лобный 	
1517	т’ахтад	возмущаться	
1518	т’аӽ	заря (вечерняя)	
1519	т’ваӽ	устье залива 	
1520	т’вид 	перестать (делать что-л.)	
1521	"т’вир̆к, пелад "	жёлчь	
1522	т’вывр̆	"молоток, молот "	
1523	т’еӈ	уголь	
1524	т’иф 	тростник	
1525	т’ифть 	стул; скамейка 	
1526	т’ла 	1) дно; 2) нацеленная острога 	
1527	т’ланд 	нереститься (о рыбе)	
1528	Т’ЛаӈИ 	1. олень; 2. ВОСТОЧНЫЙ ветер (букв.: олений ветер)	
1529	т’ лаф 	место нереста 	
1530	т’ лед 	насквозь	
1531	"т’леўла ӈa, паӻи "	куропатка	
1532	"т’леўланд, чаӈд"	быть белым (о масти животного)	
1533	"т’леўла, чаӈ"	белый	
1534	"т’ловр̆, т’р̆овр̆, к’ловр̆"	гвоздь	
1535	"т’лойд, к’лойд "	бежать (о человеке)	
1536	"т’ло лоӈ, тивла лоӈ"	декабрь	
1537	"т’лы, к’лы I"	напёрсток	
1538	"т’лы, к’лы II"	1. небо; 2. небесный 	
1539	т’лығи	рысь	
1540	"т’мыг, р̆мыг"	"через, поверх (чего-л.)"	
1541	т’ноӽ	"длинный ремень; аркан, маут (обычно из кожи) "	
1542	т’oӻзaӈ	1. орех (стланиковый); 2. орехо­вый	
1543	т’oӻоӄр̆	числ. пятьдесят 	
1544	т’oӄр̆	числ. пять (для счёта разнообраз­ных предметов)	
1545	т’ом	жир (нерпичий) 	
1546	т’ор̆	числ. пять (для счёта животных и рыб)	
1547	т’ор̆ӄ	барсук	
1548	т’оӽ I	смола	
1549	т’оӽ II	"лось, сохатый "	
1550	"т’оӽтт, т’оӽтнд"	1) примиряться; 2) дого­вариваться; 3) соглашаться (с кем-л.)	
1551	т’райӽ	1) слизь (рыбья); 2) потроха (рыбьи); 3) отбросы	
1552	т’р̆ат	трясогузка	
1553	"т’р̆ат лoӈ, aр̆ӄи ЛOӈ"	апрель	
1554	т’у I	нарта	
1555	т’у II	сустав	
1556	"т’увд, р̆увд"	"1) жечь, палить (что-л.); 2) топить (печь), разводить огонь"	
1557	т’уғр̆	1. 1) ОГОНЬ; 2) СПИЧКИ; 2. ОГНеННЫЙ	
1558	т’уғр̆му	пароход	
1559	"т’уд, р̆уд I "	"преследовать, гнаться"	
1560	"т’уд, р̆уд II "	"точить, оттачивать "	
1561	"т’уд, р̆уд III"	собирать	
1562	т’улф	1. зима; 2. зимний 	
1563	т’умд 	"накаливать, раскалять "	
1564	т’уньд	1. быть острым; 2. острый 	
1565	т’ури	1) мост; трап; 2) пристань 	
1566	т’ур̆ 	1. горох; 2. гороховый	
1567	т’уск 	1. ель; 2. еловый 	
1568	т’утм 	1) древесная зола; 2) сажа 	
1569	т’уф	1. дым; 2. дымный 	
1570	т’хур̆	постель	
1571	т’хы	1. поверхность; 2. на 	
1572	т’хымр̆	горностай	
1573	"т’ӽар̆пд, т’ӽар̆пт "	забывать	
1574	т’ы	лунка во льду 	
1575	т’ыд I 	1. опухать; 2. опухший 	
1576	т’ыд II	1. быть далёким; 2. далёкий 	
1577	т’ыид 	1. быть голубым; 2. голубой 	
1578	"т’ыик, чари алр̆"	голубика (ягода)	
1579	т’ый 	"сон, сновидение "	
1580	т’ыйд 	сниться	
1581	"т’ылгуд, т’ылгунд "	"рассказывать (преда­ния, легенды, мифы)"	
1582	т’ылгур̆	"предание, легенда, миф "	
1583	т’ылф 	далёкое место 	
1584	т’ыӈ	родничок 	
1585	т’ыӈрыӈ	1) однострунный музыкальный инструмент; 2) гармошка	
1586	т’ырд 	смотреть	
1587	т’ытьк 	голень	
1588	т’ыф	опухшее место; опухоль 	
1589	у	скребок (для соскабливания мездры и строгания дерева)	
1590	угуд	"зажигать, поджигать "	
1591	уғд 	"гибнуть (в битве, драке) "	
1592	"уғмуд, ухмуд "	"сражаться, бороться, биться; состязаться "	
1593	уғӈа	гагара (большая) 	
1594	"уғри, орр̆"	"лоскут, тряпка "	
1595	"уғрут, уғрт"	"вместе, совместно, сообща"	
1596	уғръюпт 	застёгивать	
1597	уғр̆	пуговица	
1598	"уғр̆ к’ути, мласӄ"	петля (на одежде)	
1599	уғард	"выгорать, сгорать целиком"	
1600	уд	1. гореть; 2. пожар	
1601	УЗӈылд	способ завязывания женских кос	
1602	"узу, узи"	"чаща, тайга"	
1603	уйғд	"запрет, табу"	
1604	уйғла	"запретный, табуированный"	
1605	уйғыр̆	рукав	
1606	ул	пазуха	
1607	улаф	возвышенное место; возвышенность	
1608	улгуд	увеличивать высоту	
1609	улгур̆	высоко	
1610	улд	быть высоким	
1611	ула	высокий	
1612	улми	за пазухой	
1613	улмыр̆	узел (верёвочный)	
1614	умд	"быть злым, сердитым"	
1615	умла	"злой, сердитый"	
1616	умлаӈа	змея	
1617	уньғыр̆	1. звезда; 2. звёздный	
1618	уньр̆ I	1) утварь; 2) посуда	
1619	уньр̆ II	злой дух	
1620	уӈа	светлячок	
1621	упр̆	"повязка, подвязка, шнурок"	
1622	"ургур̆, ургут"	хорошо	
1623	урӻард	"1) излечиваться, выздоравливать; 2) становиться хорошим"	
1624	"урд, урлад"	быть хорошим	
1625	урла	хороший	
1626	урӈуд	"голодать, испытывать недостаток в еде"	
1627	ур̆	остров	
1628	"уски, чмыр̆"	"1) плата; 2) цена, расценка"	
1629	ускӈ	"сени; прихожая, коридор"	
1630	ускрайд	"плата за отданное, за взятое"	
1631	ускр̆	"лично сам, сам "	
1632	ут	"туловище, тело "	
1633	утӻаврр̆	загадка	
1634	"ух, вих"	нос	
1635	фад	"надевать (брюки, чулки, носки, рукавицы)"	
1636	фазуд	1) раздевать; 2) разувать 	
1637	фаруд	распахивать	
1638	февъюд	свистеть	
1639	фед	собирать	
1640	фид I	надевать (обувь) 	
1641	фид II	сверлить	
1642	фиӈуд	спрятать	
1643	фир̆куд	"повернуть, поворачивать "	
1644	"фисаӽ, ю"	роса	
1645	фитид	"укрываться, накрываться (одеялом)"	
1646	фитир̆	одеяло	
1647	фовд	брызгать (выдувать ртом брызги воды)	
1648	фолӻод	"пробивать (дыру), продырявливать "	
1649	"фоюд, фоёд"	моросить (о дожде) 	
1650	фувд I 	дуть (выпускать ртом сильную струю воздуха)	
1651	фувд II	пилить	
1652	фулфулд	"ползать, ползти "	
1653	"фуньд, фыньд"	"бросать, кидать (чем-л. в кого-л.)"	
1654	фунькуд	опрокинуть (вверх дном)	
1655	фурд	рассказывать	
1656	"фывр̆кд, фывр̆кт"	"ощипывать, щипать, выдёргивать (перья у птицы)"	
1657	"фыскыд,яӈрд"	"УДИВЛЯТЬСЯ, ИЗУМЛЯТЬся, поражаться"	
1658	"фыскыла, яӈрла"	"удивительный, изумительный, пора­зительный"	
1659	фытуд	"раскалывать, расщеплять "	
1660	"xeвaӈ, п’оти"	1. верёвка; 2. верёвочный	
1661	хевд	"1) плести, вить, скручивать (верёвку, канат); 2) завинчивать, закручивать"	
1662	хевр̆	трёхкатушечный деревянный инструмент для витья верёвок	
1663	хед I 	надевать (одежду) 	
1664	хед II 	"принимать (кого-, что-л. за кого-, что-л.)"	
1665	хедрд 	"1) тереть, растирать; 2) натирать, втирать; 3) смазывать"	
1666	хедр̆	тёрка	
1667	хем	"зерно, ядро (часть плода) "	
1668	хеми	1) верховье реки; 2) направление вверх по реке	
1669	херд	"говорить, обращаться (к кому-л.)"	
1670	хизд	надевать	
1671	ХИМИ	направление ВВЫСЬ 	
1672	хируд	"теребить, трепать "	
1673	"хитид, хитинд"	"1) поднимать снизу; 2) подавать наверх, протягивать вверх"	
1674	"хитуд, ясӄт"	"КрОИТЬ, раскраивать, ВЫ­краивать"	
1675	"ХИТУК, ЯсӄHИвӈ"	ЗаКрОЙЩИК	
1676	хуви	связка юколы для корма собак	
1677	худ	"лежать, находиться, помещаться (в чём-л.)"	
1678	"хывд, р̆ад, т’ад"	"1) рубить, разрубать (на части); 2) колоть (дрова)"	
1679	хызд	"копать, рыть "	
1680	хызф	"место, где что-л. зарыто, закопано"	
1681	хымзд	"1) зарывать, закапывать; 2) хоро­нить "	
1682	хырд	собирать (что-л. в одно место)	
1683	хытюд	быть бережливым	
1684	хытю	бережливый	
1685	ӿа	ловушка	
1686	ӿавад	"широко раскрывать, разевать рот, пасть"	
1687	ӿаваф	лёгкие	
1688	"ӿағи, тaӈвaӈ"	черемша (дикорастущий лук)	
1689	ӿағмыр̆	развилка жерди 	
1690	ӿад	"1) так поступать, так делать; 2) таков есть"	
1691	ӿаймд	1. быть старым; 2. старый 	
1692	ӿаймӈар̆	старик	
1693	"ӿaйӈ, ӿыйк, оск"	1. заяц; 2. заячий 	
1694	ӿаӄ	головной убор 	
1695	ӿaлӈ	ошейник	
1696	ӿaлӈыр̆	помост для чистки и резки рыбы	
1697	ӿалу	поляна	
